排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
41,anywhere-labs/deepseek-harness-desktop,https://github.com/anywhere-labs/dsh-desktop,开发工具,23956,23956,2026-08-13,开源开发者工具与效率项目,为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。
42,anywhere-labs/dsh-desktop,https://github.com/anywhere-labs/dsh-desktop,开发工具,23956,23956,2026-08-13,开源开发者工具与效率项目,为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。
43,firecrawl/anydoc,https://github.com/firecrawl/anydoc,前端框架,20540,20540,2026-08-03,开源前端框架、UI 或交互工具,"Convert Word, PowerPoint, Excel, OpenDocument, RTF, EPUB, CSV, and PDF to clean Markdown. Bui..."
44,bilawalsidhu/gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,多模态,18493,18493,2026-06-22,开源多模态、图像或视觉项目,"A spy satellite simulator in your browser, except the data is real. Live open source spatial ..."
45,andrewyng/openworker,https://github.com/andrewyng/openworker,开发工具,17400,17400,2026-07-20,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
46,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,前端框架,16094,16094,2026-06-12,开源前端框架、UI 或交互工具,Free and open-source macOS menu bar toolkit.
47,vorssaintapp/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,前端框架,16094,16094,2026-06-12,开源前端框架、UI 或交互工具,Free and open-source macOS menu bar toolkit.
48,img2threejs/img2threejs,https://github.com/img2threejs/img2threejs,Coding Agent,15393,15393,2026-07-15,开源 AI 编程 Agent / 编程辅助工具,"Rebuild the object in a reference image as a code-only, procedural, quality-gated, animation-..."
49,awesome-dsh-plugin/awesome-dsh-plugin,https://github.com/awesome-dsh-plugin/awesome-dsh-plugin,开发工具,14669,14669,2026-08-13,开源开发者工具与效率项目,A curated list of plugins for DeepSeek Harness (dsh) · DeepSeek Harness 插件精选列表
50,Fei-Away/Codex-Dream-Skin,https://github.com/Fei-Away/Codex-Dream-Skin,Coding Agent,14345,14345,2026-07-15,开源 AI 编程 Agent / 编程辅助工具,Codex Dream Skin
51,lidge-jun/opencodex,https://github.com/lidge-jun/opencodex,Coding Agent,13646,13646,2026-06-18,开源 AI 编程 Agent / 编程辅助工具,"Universal provider proxy for OpenAI Codex & Claude Code — use any LLM (Claude, Gemini, Grok, ..."
52,FlashML-org/FreeToken,https://github.com/FlashML-org/FreeToken,模型/推理,11877,11877,2026-07-20,开源大模型、训练或推理项目,"FreeToken brings datacenter-scale model serving to your desktop. Run massive models locally, ..."
53,pathwaycom/arc-task-gen,https://github.com/pathwaycom/arc-task-gen,开发工具,11010,11010,2026-08-04,开源开发者工具与效率项目,Generates original ARC-AGI-1-style tasks distribution-matched to the public eval set.
54,openai/codex-security,https://github.com/openai/codex-security,Coding Agent,10540,10540,2026-07-13,开源 AI 编程 Agent / 编程辅助工具,"OpenAI's Codex Security CLI and TypeScript SDK for finding, validating, and fixing security v..."
55,Yu9191/wloc,https://github.com/Yu9191/wloc,开发工具,10082,10082,2026-06-24,开源开发者工具与效率项目,修改 Apple 网络定位（gs-loc）返回坐标 · 支持 Surge / Quantumult X / Loon / Stash · 快捷指令一键设置/恢复定位
56,omnigent-ai/omnigent,https://github.com/omnigent-ai/omnigent,Coding Agent,9745,9745,2026-06-11,开源 AI 编程 Agent / 编程辅助工具,"Omnigent is an open-source AI agent framework and meta-harness: orchestrate Claude Code, Code..."
57,shadcn/improve,https://github.com/shadcn/improve,模型/推理,9085,9085,2026-06-10,开源大模型、训练或推理项目,Use your most capable model to audit your codebase and write plans for cheaper models to exec...
58,oso95/scroll-world,https://github.com/oso95/scroll-world,多模态,9061,9061,2026-07-06,开源多模态、图像或视觉项目,A skill that turn any brand into a scrollable 3D world landing page
59,MoonshotAI/Kimi-K3,https://github.com/MoonshotAI/Kimi-K3,开发工具,8713,8713,2026-07-27,开源开发者工具与效率项目,Open Frontier Intelligence
60,MiniMax-AI/MiniMax-H3,https://github.com/MiniMax-AI/MiniMax-H3,开发工具,8167,8167,2026-07-30,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
61,MDX-Tom/gpt-5.6-instruct,https://github.com/MDX-Tom/gpt-instruct,Coding Agent,7626,7626,2026-07-11,开源 AI 编程 Agent / 编程辅助工具,A Codex jailbreak prompt and test pack for gpt. 针对 gpt 系列的 Codex 破甲提示词与测试包。
62,MDX-Tom/gpt-instruct,https://github.com/MDX-Tom/gpt-instruct,Coding Agent,7626,7626,2026-07-11,开源 AI 编程 Agent / 编程辅助工具,A Codex jailbreak prompt and test pack for gpt. 针对 gpt 系列的 Codex 破甲提示词与测试包。
63,Vincentwei1021/video-shotcraft,https://github.com/Vincentwei1021/video-shotcraft,Coding Agent,7616,7616,2026-07-19,开源 AI 编程 Agent / 编程辅助工具,AI video skill for Claude Code & Codex — cinematic product videos with Remotion: 152 shot rec...
64,chuspeeism/dashi-ppt-skill,https://github.com/chuspeeism/dashi-ppt-skill,Coding Agent,7605,7605,2026-06-10,开源 AI 编程 Agent / 编程辅助工具,"An AI-agent skill that generates browser-editable presentations from multiple visual themes, ..."
65,pollen-robotics/microduck,https://github.com/pollen-robotics/microduck,机器人,7504,7504,2026-07-29,开源机器人、具身智能或硬件项目,A Tiny biped duck robot 🦆
66,petergyang/no-ai-slop,https://github.com/petergyang/no-ai-slop,开发工具,7401,7401,2026-07-07,开源开发者工具与效率项目,Removes 20+ patterns of AI slop from any piece of writing.
67,FareedKhan-dev/kimi-k3-in-c,https://github.com/FareedKhan-dev/kimi-k3-in-c,模型/推理,7160,7160,2026-08-01,开源大模型、训练或推理项目,A 2.78-trillion-parameter Kimi K3 running inference on a single CPU in 8.24 GB of RAM. Portab...
68,deepseek-ai/DeepSpec,https://github.com/deepseek-ai/DeepSpec,开发工具,7082,7082,2026-06-26,开源开发者工具与效率项目,DeepSpec: a full-stack codebase for training and evaluating speculative decoding algorithms
69,zhu1090093659/dsh-web,https://github.com/zhu1090093659/dsh-web,前端框架,7016,7016,2026-08-12,开源前端框架、UI 或交互工具,"DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem · Everything is a plugin, distributed..."
70,zhu1090093659/dsh-web-ui,https://github.com/zhu1090093659/dsh-web,前端框架,7016,7016,2026-08-12,开源前端框架、UI 或交互工具,"DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem · Everything is a plugin, distributed..."
71,LiamGvchi/gc-minimal-zine-poster,https://github.com/LiamGvchi/gc-minimal-zine-poster,Coding Agent,6951,6951,2026-07-12,开源 AI 编程 Agent / 编程辅助工具,Codex skill for generating quiet minimal zine-style editorial poster prompts and images.
72,arvids-unavailable/openGym,https://github.com/arvids-unavailable/openGym,开发工具,6707,6707,2026-08-03,开源开发者工具与效率项目,https://github.com/DuarteSantos8/openGym
73,bashalarmistalt/decimen-optical-transfer,https://github.com/bashalarmistalt/decimen-optical-transfer,开发工具,6693,6693,2026-07-30,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
74,drumih/turbo-fieldfare,https://github.com/drumih/turbo-fieldfare,模型/推理,6657,6657,2026-07-17,开源大模型、训练或推理项目,Gemma 4 26B-A4B inference in ~2 GB of RAM on any M-series MacBook
75,affaan-m/ECC,https://github.com/affaan-m/ECC,Coding Agent,6561,251353,2026-01-18,开源 AI 编程 Agent / 编程辅助工具,"The agent harness performance optimization system. Skills, instincts, memory, security, and r..."
76,zhongerxin/Cowart,https://github.com/zhongerxin/Cowart,开发工具,5843,5843,2026-06-18,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
77,trailhq/Graft,https://github.com/trailhq/Graft,Coding Agent,5796,5796,2026-07-03,开源 AI 编程 Agent / 编程辅助工具,"Turbocharge Claude Code, Cursor, Codex, Gemini & every coding agent: faster, cheaper, with co..."
78,baairon/torlink,https://github.com/baairon/torlink,机器人,5577,5577,2026-06-25,开源机器人、具身智能或硬件项目,"👾 A sleek, zero-setup torrent finder and downloader that lives right in your terminal."
79,LaoFeng-mouse/flyingmouse-format,https://github.com/LaoFeng-mouse/flyingmouse-format,多模态,5525,5525,2026-08-06,开源多模态、图像或视觉项目,飞鼠格式 FlyingMouse Format - Windows 免费文件格式转换工具（离线可用，内置 FFmpeg/LibreOffice/Poppler/Tesseract）。图片...
80,internet-court/internet-court-skill,https://github.com/internet-court/internet-court-skill,Coding Agent,5419,5419,2026-06-16,开源 AI 编程 Agent / 编程辅助工具,"The trust layer for agent-to-agent commerce — natural-language mandates, ERC-7710 delegated p..."
81,ZzzLc0405/photo-abstract-editorial,https://github.com/ZzzLc0405/photo-abstract-editorial,开发工具,5407,5407,2026-08-04,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
82,MengTo/threeui,https://github.com/MengTo/threeui,前端框架,5244,5244,2026-08-21,开源前端框架、UI 或交互工具,Open-source ThreeUI Community catalog with live interactive components and complete Community...
83,miuuyy/codex-chatgpt-web,https://github.com/miuuyy/codex-chatgpt-web,Coding Agent,5132,5132,2026-07-26,开源 AI 编程 Agent / 编程辅助工具,"Use ChatGPT Web (including Pro) as a native model in the Codex app — with context, tools, str..."
84,s1dashu/ip-as-logo-skill,https://github.com/s1dashu/ip-as-logo-skill,Coding Agent,4994,4994,2026-08-18,开源 AI 编程 Agent / 编程辅助工具,"A compact Agent Skill for highly simplified, rounded, subtly neo-skeuomorphic IP mascot logos."
85,nyblnet/bento,https://github.com/nyblnet/bento,前端框架,4876,4876,2026-07-17,开源前端框架、UI 或交互工具,"Bento, the office suite that fits in a file"
86,Zeejay0/gathered-scenes-zine-skill,https://github.com/Zeejay0/gathered-scenes-zine-skill,开发工具,4845,4845,2026-08-01,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
87,bikini/exploitarium,https://github.com/bikini/exploitarium,开发工具,4818,4818,2026-06-23,开源开发者工具与效率项目,A single archive of public exploit PoCs and vulnerability research writeups. At the time I po...
88,larashero3-dotcom/lieflat-charts,https://github.com/larashero3-dotcom/lieflat-charts,Coding Agent,4810,4810,2026-07-16,开源 AI 编程 Agent / 编程辅助工具,"Data visualization Skill for AI Agents, turning data into polished, interactive HTML charts. ..."
89,vercel-labs/scriptc,https://github.com/vercel-labs/scriptc,开发工具,4771,4771,2026-07-22,开源开发者工具与效率项目,TypeScript-to-Native Compiler
90,xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,https://github.com/xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,前端框架,4558,4558,2026-07-30,开源前端框架、UI 或交互工具,FDE（前沿部署工程师）从零入门指南（基于范冰《增长黑客》原书框架）
91,DavidHDev/canvas-ui,https://github.com/DavidHDev/canvas-ui,前端框架,4504,4504,2026-07-16,开源前端框架、UI 或交互工具,"A library of creative canvas components. Real HTML with WebGL effects running over it. React,..."
92,Waishnav/devspace,https://github.com/Waishnav/devspace,Coding Agent,4500,4500,2026-06-14,开源 AI 编程 Agent / 编程辅助工具,"Minimal Coding Agent Harness on MCP for ChatGPT, Claude, Hermes, Grok Bot, OpenClaw"
93,CopilotKit/OpenBot,https://github.com/CopilotKit/OpenBot,Coding Agent,4372,4372,2026-08-17,开源 AI 编程 Agent / 编程辅助工具,"Open-source AI coworkers that each get a computer of their own: a browser, files and tools, w..."
94,Jia-Ethan/codex-keysmith,https://github.com/Jia-Ethan/codex-keysmith,Coding Agent,4340,4340,2026-06-28,开源 AI 编程 Agent / 编程辅助工具,"Versioned Codex instruction deployment with preview, ownership manifests, hook isolation, sce..."
95,slvDev/esp32-ai,https://github.com/slvDev/esp32-ai,开发工具,4295,4295,2026-07-23,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
96,lnkiai/m3e-canvas,https://github.com/lnkiai/m3e-canvas,前端框架,4282,4282,2026-09-02,开源前端框架、UI 或交互工具,Sketch Material 3 Expressive screens in the browser and turn them into vibe-coding prompts.
97,withmarbleapp/os-taxonomy,https://github.com/withmarbleapp/os-taxonomy,开发工具,4263,4263,2026-07-08,开源开发者工具与效率项目,详见 GitHub 官方仓库说明
98,stablyai/orca,https://github.com/stablyai/orca,Coding Agent,4187,62813,2026-03-17,开源 AI 编程 Agent / 编程辅助工具,Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your o...
99,BuilderIO/skills,https://github.com/BuilderIO/skills,Coding Agent,4183,4183,2026-06-10,开源 AI 编程 Agent / 编程辅助工具,Skills for coding agents
100,arvin341az-glitch/RVG,https://github.com/arvin341az-glitch/RVG,前端框架,4108,4108,2026-06-12,开源前端框架、UI 或交互工具,"Multi-protocol proxy management panel built with Python & FastAPI, deployable on Railway."
101,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Coding Agent,3954,242550,2025-07-22,开源 AI 编程 Agent / 编程辅助工具,The agent that grows with you
102,digimata/quill,https://github.com/digimata/quill,前端框架,3903,3903,2026-07-24,开源前端框架、UI 或交互工具,Ultra-minimalist macOS recording + transcription.
103,microsoft/skill-recorder,https://github.com/microsoft/skill-recorder,Coding Agent,3864,3864,2026-07-29,开源 AI 编程 Agent / 编程辅助工具,Desktop app that records your on-screen work session and uses the GitHub Copilot CLI to recon...
104,mekos2772/ios-location-spoofer,https://github.com/mekos2772/ios-location-spoofer,开发工具,3848,3848,2026-06-30,开源开发者工具与效率项目,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/...
105,tutti-os/tutti,https://github.com/tutti-os/tutti,Coding Agent,3686,3686,2026-06-12,开源 AI 编程 Agent / 编程辅助工具,Where people and agents build in tune.
106,magnitudedev/magnitude,https://github.com/magnitudedev/magnitude,Coding Agent,3677,3677,2026-06-12,开源 AI 编程 Agent / 编程辅助工具,"Open source inference server that runs the best local models for your hardware, plugged into ..."
107,bryanthaboi/gen1recomp,https://github.com/bryanthaboi/gen1recomp,开发工具,3568,3568,2026-07-18,开源开发者工具与效率项目,Gen1Recomp - A native Lua / LÖVE2D recreation of Gen 1 and 2 Poke
108,isjiamu/gzh-design-skill,https://github.com/isjiamu/gzh-design-skill,Coding Agent,3534,3534,2026-07-01,开源 AI 编程 Agent / 编程辅助工具,把 Markdown 一键排成可直接粘进公众号编辑器的精致 HTML —— 6 套精选主题 + 主题生成器 + 双关卡校验。An AI-agent skill that turns Ma...
109,openTrinity/mycontext,https://github.com/openTrinity/mycontext,开发工具,3521,3521,2026-08-03,开源开发者工具与效率项目,MyContext is a local-first desktop app for everyday communication and knowledge work
110,yetone/cumora,https://github.com/yetone/cumora,Coding Agent,3493,3493,2026-08-17,开源 AI 编程 Agent / 编程辅助工具,Where agent teams gather. Cross-platform team chat where AI agents are first-class teammates ...
111,xuchonglang/investing-for-beginners,https://github.com/xuchonglang/investing-for-beginners,开发工具,3448,3448,2026-07-03,开源开发者工具与效率项目,美股、期权与加密货币知识框架
112,spinabot/brigade,https://github.com/spinabot/brigade,Coding Agent,3416,3416,2026-06-19,开源 AI 编程 Agent / 编程辅助工具,"Brigade — Your personal intelligence, built enterprise-grade"
113,Hypostasis-Cat/HypoMux,https://github.com/Hypostasis-Cat/HypoMux,前端框架,3406,3406,2026-06-11,开源前端框架、UI 或交互工具,CN Windows 多网卡聚合与网络加速工具。一键融合有线、Wi-Fi、热点等连接，实现多路径传输与智能流量调度。 EN Windows multi-NIC network accel...
114,Tianyu199509/DeskBox,https://github.com/Tianyu199509/DeskBox,前端框架,3398,3398,2026-06-11,开源前端框架、UI 或交互工具,"A free, open-source Windows desktop organizer with native-feeling WinUI 3 widgets."
115,mshumer/Claude-of-Duty,https://github.com/mshumer/Claude-of-Duty,前端框架,3379,3379,2026-07-25,开源前端框架、UI 或交互工具,"A Call of Duty-quality FPS in Three.js, built from a single prompt."
116,fuxicodex/Fuxi,https://github.com/fuxicodex/Fuxi,Coding Agent,3377,3377,2026-08-04,开源 AI 编程 Agent / 编程辅助工具,"FuXi is a fast, self-contained AI coding agent that lives in your terminal — edit code, run c..."
117,tamnd/kage,https://github.com/tamnd/kage,开发工具,3373,3373,2026-06-14,开源开发者工具与效率项目,"Shadow any website for offline viewing, with the JavaScript stripped out"
118,crmne/fastpotify,https://github.com/crmne/fastpotify,音视频,3367,3367,2026-08-27,开源音视频、语音或多媒体工具,"Spotify, native and fast. One lightweight Rust app for your whole library, local playback, an..."
119,bozhouDev/codex-orange-book,https://github.com/bozhouDev/codex-orange-book,Coding Agent,3329,3329,2026-06-23,开源 AI 编程 Agent / 编程辅助工具,Codex 橙皮书：从安装到实战案例的全链路 Codex 使用指南（非官方开源，含可下载 PDF）
120,dsh-market/dsh-market,https://github.com/dsh-market/dsh-market,开发工具,3310,3310,2026-08-14,开源开发者工具与效率项目,"The plugin market inside DeepSeek Harness — browse, search, one-click install · DSH 可视化插件市场"
121,thebuggeddev/anatomy,https://github.com/thebuggeddev/anatomy,多模态,3189,3189,2026-08-02,开源多模态、图像或视觉项目,An interactive 3D human anatomy explorer built using threejs with GPT 5.6 Sol
122,TestSprite/testsprite-cli,https://github.com/TestSprite/testsprite-cli,开发工具,3147,3147,2026-06-11,开源开发者工具与效率项目,Official TestSprite CLI — AI-powered automated testing from your terminal
123,Leonxlnx/unlazy,https://github.com/Leonxlnx/unlazy,Coding Agent,3126,3126,2026-08-09,开源 AI 编程 Agent / 编程辅助工具,"Anti-laziness skill for AI agents. Core: the Depth Tree method, which splits a task N layers ..."
124,duolahypercho/codex-router,https://github.com/duolahypercho/codex-router,Coding Agent,3121,3121,2026-07-19,开源 AI 编程 Agent / 编程辅助工具,"External-model router for Codex with guided Kimi OAuth/API, DeepSeek, safe migration, and rol..."
125,Forward-Future/loopy,https://github.com/Forward-Future/loopy,Coding Agent,3109,3109,2026-06-12,开源 AI 编程 Agent / 编程辅助工具,"A library of practical AI-agent loops and an installable skill for finding, adapting, and des..."
126,eternityspring/shuohao-skills,https://github.com/eternityspring/shuohao-skills,Coding Agent,3075,3075,2026-08-06,开源 AI 编程 Agent / 编程辅助工具,AI 短剧制作的 skill 集合：拆角色、排大纲、出场景与道具设定、写剧本、切分镜 | Agent skills for AI short-drama production — cha...
127,yynxxxxx/Codex-X,https://github.com/yynxxxxx/Codex-X,Coding Agent,3030,3030,2026-07-04,开源 AI 编程 Agent / 编程辅助工具,OpenAI Codex 桌面端/CLI 的可视化管理工具，具有Provider/API 切换、会话同步、提示词注入、Skills/MCP 管理、TOML 配置可视化的跨平台工具。
128,Tiger3807861189/J-Space-Cognition-Suite-V3.7,https://github.com/Tiger3807861189/J-Space-Cognition-Suite-V3.7,Coding Agent,3017,3017,2026-07-22,开源 AI 编程 Agent / 编程辅助工具,J-Space Cognition Suite V3.7 - AI cognitive-enhancement Skills based on Anthropic's J-space g...
