排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
24,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,AI Agent,52467,61262,2026-01-10,LLM 股票智能分析系统,行情/新闻/决策看板与推送
25,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,AI Agent,51688,106433,2025-04-17,把 Gemini 接入终端的开源 Agent,命令行 AI 编程与任务
26,gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,AI Agent,50776,64726,2025-12-14,轻量元提示/上下文工程工具,快速搭建 Agent 工作流
27,MemPalace/mempalace,https://github.com/MemPalace/mempalace,AI Agent,49929,58264,2026-04-05,开源 AI 记忆系统,给 Agent 长期记忆
28,open-webui/open-webui,https://github.com/open-webui/open-webui,AI Agent,42375,148335,2023-10-06,自托管 AI 聊天界面,本地/私有化部署 LLM 对话
29,browser-use/browser-use,https://github.com/browser-use/browser-use,AI Agent,40639,108498,2024-10-31,让 AI 操作浏览器的工具,网页自动化任务
30,VoltAgent/awesome-openclaw-skills,https://github.com/VoltAgent/awesome-openclaw-skills,AI Agent,39553,51850,2026-01-25,OpenClaw 技能合集（5400+）,找 OpenClaw 技能
31,bojieli/ai-agent-book,https://github.com/bojieli/ai-agent-book,AI Agent,35167,35250,2025-09-09,《深入理解 AI Agent》开源书,系统学习 Agent 设计与工程
32,microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,AI Agent,34946,71744,2024-11-28,18 课 AI Agent 入门教程,零基础学做 Agent
33,aaif-goose/goose,https://github.com/aaif-goose/goose,AI Agent,29661,52610,2024-08-23,可扩展开源 AI Agent,超越代码建议的自主任务
34,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,AI Agent,23335,62744,2024-11-29,AI 对冲基金团队（多 Agent）,模拟/辅助量化投资
35,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,AI Agent,22970,83558,2024-03-13,AI 驱动的全自动软件开发平台,自主完成编码任务
36,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,AI Agent,19251,56869,2023-10-27,角色扮演多 Agent 编排框架,快速搭建协作 Agent 团队
37,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,AI Agent,19248,19470,2026-05-01,把技术书 PDF 转成 Agent 技能的工具,快速沉淀领域知识技能
38,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,AI Agent,18784,18798,2026-05-13,防止 Agent 冗长铺垫的技能,让 Agent 直接给结论
39,microsoft/autogen,https://github.com/microsoft/autogen,AI Agent,12098,60332,2023-08-18,用于 Agent AI 的编程框架,多 Agent 编排与对话
40,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,AI Agent,10992,57913,2025-03-06,开源通用 Agent 平台（Manus 开源替代）,自主完成复杂任务
41,ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,Coding Agent,169150,195016,2026-03-31,由 Agent 管理的 Rust 代码项目,展示 Agent 驱动的开发流程
42,anomalyco/opencode,https://github.com/anomalyco/opencode,Coding Agent,140110,195453,2025-04-30,开源命令行编程 Agent,在终端自动编写与修改代码
43,garrytan/gstack,https://github.com/garrytan/gstack,Coding Agent,110774,127205,2026-03-11,Claude Code 开箱即用配置集（23 个工具）,快速搭建 Agent 开发环境
44,farion1231/cc-switch,https://github.com/farion1231/cc-switch,Coding Agent,109468,125963,2025-08-04,Claude Code 跨平台桌面助手,统一管理多个 Claude Code 会话
45,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,开发工具,100111,164235,2024-04-15,面向 LLM 的网页抓取/搜索 API,为 AI 提供干净的联网数据
46,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,开发工具,96402,104639,2026-04-03,代码库知识图谱生成工具,理解大型代码库结构与依赖
47,anthropics/claude-code,https://github.com/anthropics/claude-code,Coding Agent,96295,140842,2025-02-22,终端里的 Agent 化编程工具,自然语言驱动的代码编写与重构
48,microsoft/markitdown,https://github.com/microsoft/markitdown,开发工具,96184,172649,2024-11-13,文件/办公文档转 Markdown 的 Python 工具,为 LLM/RAG 准备文档输入
49,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,开发工具,93075,107464,2026-03-31,知名设计系统 DESIGN.md 合集,参考大厂设计规范
50,github/spec-kit,https://github.com/github/spec-kit,Coding Agent,90219,125997,2025-08-21,规格驱动开发（SDD）工具包,用规格文档引导 AI 编程
51,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,Coding Agent,87519,97082,2026-04-04,极简省 token 的 Claude Code 技能,用最少 token 完成编码
52,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,基础设施,83895,192053,2024-05-30,免费域名分发平台,个人与项目免费获取域名
53,nexu-io/open-design,https://github.com/nexu-io/open-design,前端框架,78964,84749,2026-04-28,本地优先的开源设计工具（Claude Design 替代）,本地用 AI 做界面设计
54,karpathy/autoresearch,https://github.com/karpathy/autoresearch,模型/推理,78073,93523,2026-03-06,单 GPU 上跑科研的实验 Agent,自动化深度学习研究
55,ruvnet/RuView,https://github.com/ruvnet/RuView,多模态,74106,89098,2025-06-07,用 WiFi 信号做实时空间感知的工具,无摄像头的环境监测
56,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,开发工具,73732,78588,2026-03-15,把代码转成教学图谱的工具,理解陌生代码库
57,koala73/worldmonitor,https://github.com/koala73/worldmonitor,多模态,67899,80217,2026-01-08,AI 驱动全球情报看板,实时聚合新闻与事件监控
58,rtk-ai/rtk,https://github.com/rtk-ai/rtk,开发工具,67353,75375,2026-01-22,降低 LLM token 消耗的 CLI 代理,压缩上下文以降本提速
59,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,开发工具,66749,131777,2024-04-29,100+ AI Agent/技能/RAG 应用精选列表,找开源 LLM 应用参考
60,headroomlabs-ai/headroom,https://github.com/headroomlabs-ai/headroom,开发工具,64708,65659,2026-01-07,发送给 LLM 前压缩上下文的工具,降低 token 与延迟
61,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,开发工具,62616,65585,2026-01-18,预索引代码知识图谱,代码检索与导航
62,openai/codex,https://github.com/openai/codex,Coding Agent,60360,104970,2025-04-13,终端轻量编程 Agent,自动完成编码任务
63,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,音视频,59728,102345,2024-03-11,AI 一键生成高清短视频工具,按主题批量产出短视频
64,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,开发工具,59067,142684,2025-03-05,主流 AI 编码工具系统提示词汇编,研究/复现各家 Agent 提示词
65,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,开发工具,58565,73295,2024-10-13,自适应网页抓取框架,稳定爬取动态网页
66,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,基础设施,58048,136716,2023-11-21,基于 Tauri 的代理 GUI 客户端,流量分流与科学上网
67,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,Coding Agent,56817,73669,2025-06-29,极简 Claude Code 式 Agent harness 教程,学习搭建编码 Agent
68,OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,音视频,55227,81926,2025-06-22,开源视频剪辑工具（剪映替代）,视频剪辑与特效
69,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,Coding Agent,54151,64224,2025-10-31,Claude Code 最佳实践指南,从 vibe coding 到 Agent 工程
70,pbakaus/impeccable,https://github.com/pbakaus/impeccable,前端框架,52559,57433,2025-11-16,让 AI 生成更高质感界面的设计体系,提升 AI 产出 UI 设计水准
71,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,Coding Agent,51471,64376,2025-08-05,面向 AI 编程助手的规格驱动开发工具,用规格文档管控代码生成
72,code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,Coding Agent,50582,67571,2025-12-03,极致省 token 的编程 Agent,低成本自动化编码
73,tw93/Mole,https://github.com/tw93/Mole,开发工具,45051,62818,2025-09-23,Mac 清理与优化工具,系统维护与监控
74,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,开发工具,43770,62633,2025-05-03,Anthropic 等系统提示词泄露合集,研究前沿模型提示词
75,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,开发工具,43489,44323,2026-02-13,统一 AI 模型网关,一个端点接入 290+ 模型
76,karpathy/nanochat,https://github.com/karpathy/nanochat,模型/推理,43486,57079,2025-10-13,单 GPU 可训练运行的极简 ChatGPT,学习/实验 LLM 训练
77,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,多模态,40330,61302,2025-04-28,AI 舆情与趋势监控工具,多平台热点追踪
78,microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,音视频,38295,52282,2025-08-25,开源前沿语音生成模型,高质量语音合成
79,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,Coding Agent,36563,52005,2025-04-19,Claude Code 资源精选列表,找编码 Agent 工具与技巧
80,daytonaio/daytona,https://github.com/daytonaio/daytona,基础设施,34536,72027,2024-02-06,运行 AI Agent 的安全弹性基础设施,云端沙箱执行 Agent
81,opendatalab/MinerU,https://github.com/opendatalab/MinerU,开发工具,33794,77216,2024-02-29,文档（PDF/Office）转结构化数据工具,为 RAG/训练准备语料
82,upstash/context7,https://github.com/upstash/context7,开发工具,32243,60503,2025-03-26,为 LLM 提供最新代码文档的服务,减少 Agent 幻觉
83,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,开发工具,29202,92015,2024-11-30,MCP 服务器精选列表,找 Agent 工具接入
84,Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,开发工具,29078,56011,2025-05-14,n8n 工作流合集,参考自动化流程模板
85,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,开发工具,28839,89381,2024-11-19,Model Context Protocol 官方服务器合集,给 Agent 接入外部工具/数据
86,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,开发工具,27647,77577,2024-05-09,对 LLM 友好的开源网页爬虫,抓取网页供 RAG/训练
87,infiniflow/ragflow,https://github.com/infiniflow/ragflow,开发工具,25688,87134,2023-12-12,深度文档理解的开源 RAG 引擎,企业级检索增强生成
88,block/buzz,https://github.com/block/buzz,基础设施,25670,25684,2026-03-06,去中心化群体通信平台,加密/匿名协作通信
89,unslothai/unsloth,https://github.com/unslothai/unsloth,模型/推理,25130,69774,2023-11-29,本地训练/微调 LLM 与扩散模型的工具,低成本微调
90,jingyaogong/minimind,https://github.com/jingyaogong/minimind,模型/推理,25037,54499,2024-07-27,教学用极简 LLM 训练项目,学习大模型训练原理
91,docling-project/docling,https://github.com/docling-project/docling,开发工具,24820,64483,2024-07-09,文档解析与转换工具,为生成式 AI 准备文档
92,astral-sh/uv,https://github.com/astral-sh/uv,开发工具,24196,88546,2023-10-02,极速 Python 包与项目管理器,替代 pip/venv/poetry
93,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,音视频,23204,95838,2023-09-24,实时换脸与一键视频深度伪造工具,直播/视频换脸
94,permissionlesstech/bitchat,https://github.com/permissionlesstech/bitchat,基础设施,20803,34889,2025-07-04,蓝牙 Mesh 去中心化聊天,无网环境近距离通信
95,alibaba/open-code-review,https://github.com/alibaba/open-code-review,Coding Agent,19665,19830,2026-05-18,阿里开源 AI 代码审查工具,自动化 PR 评审
96,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,前端框架,15944,65116,2024-05-30,真正独立的全新网页浏览器,开源自主浏览器引擎
97,ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,开发工具,13450,86823,2023-09-18,用图解讲清复杂系统的开源书,学习分布式系统设计
98,dockur/windows,https://github.com/dockur/windows,基础设施,11331,52802,2024-01-14,在 Docker 里运行 Windows,容器化 Windows 环境
99,RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,音视频,11264,60629,2024-01-14,少样本语音克隆/TTS 模型,1 分钟语音训练高质量 TTS
100,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,模型/推理,8142,104148,2024-12-26,DeepSeek 开源 MoE 大模型,通用 LLM 推理与微调
101,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,模型/推理,5761,91981,2025-01-20,DeepSeek 开源推理大模型,复杂推理任务
102,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,前端框架,5092,73925,2023-11-14,截图转代码工具,设计稿转 HTML/Tailwind/React
103,maybe-finance/maybe,https://github.com/maybe-finance/maybe,开发工具,4749,54340,2024-01-01,个人理财应用,管理个人财务
